"Date.Time","Unit","temp","cohort","block","hour","minute","Date"
2020-09-29 20:56:00,"C",22,1,1,20,56,2020-09-29
2020-09-29 21:56:00,"C",21,1,1,21,56,2020-09-29
2020-09-29 22:56:00,"C",19.5,1,1,22,56,2020-09-29
2020-09-29 23:56:00,"C",18.5,1,1,23,56,2020-09-29
2020-09-30 00:56:00,"C",17.5,1,1,0,56,2020-09-30
2020-09-30 01:56:00,"C",17,1,1,1,56,2020-09-30
2020-09-30 02:56:00,"C",16.5,1,1,2,56,2020-09-30
2020-09-30 03:56:00,"C",16,1,1,3,56,2020-09-30
2020-09-30 04:56:00,"C",15.5,1,1,4,56,2020-09-30
2020-09-30 05:56:00,"C",15,1,1,5,56,2020-09-30
2020-09-30 06:56:00,"C",14,1,1,6,56,2020-09-30
2020-09-30 07:56:00,"C",13.5,1,1,7,56,2020-09-30
2020-09-30 08:56:00,"C",16,1,1,8,56,2020-09-30
2020-09-30 09:56:00,"C",21.5,1,1,9,56,2020-09-30
2020-09-30 10:56:00,"C",26,1,1,10,56,2020-09-30
2020-09-30 11:56:00,"C",25.5,1,1,11,56,2020-09-30
2020-09-30 12:56:00,"C",29.5,1,1,12,56,2020-09-30
2020-09-30 13:56:00,"C",33,1,1,13,56,2020-09-30
2020-09-30 14:56:00,"C",33.5,1,1,14,56,2020-09-30
2020-09-30 15:56:00,"C",30.5,1,1,15,56,2020-09-30
2020-09-30 16:56:00,"C",31,1,1,16,56,2020-09-30
2020-09-30 17:56:00,"C",31,1,1,17,56,2020-09-30
2020-09-30 18:56:00,"C",28,1,1,18,56,2020-09-30
2020-09-30 19:56:00,"C",26,1,1,19,56,2020-09-30
2020-09-30 20:56:00,"C",24.5,1,1,20,56,2020-09-30
2020-09-30 21:56:00,"C",22.5,1,1,21,56,2020-09-30
2020-09-30 22:56:00,"C",21.5,1,1,22,56,2020-09-30
2020-09-30 23:56:00,"C",20.5,1,1,23,56,2020-09-30
2020-10-01 00:56:00,"C",19.5,1,1,0,56,2020-10-01
2020-10-01 01:56:00,"C",19,1,1,1,56,2020-10-01
2020-10-01 02:56:00,"C",18,1,1,2,56,2020-10-01
2020-10-01 03:56:00,"C",17.5,1,1,3,56,2020-10-01
2020-10-01 04:56:00,"C",17,1,1,4,56,2020-10-01
2020-10-01 05:56:00,"C",16.5,1,1,5,56,2020-10-01
2020-10-01 06:56:00,"C",16,1,1,6,56,2020-10-01
2020-10-01 07:56:00,"C",15.5,1,1,7,56,2020-10-01
2020-10-01 08:56:00,"C",17,1,1,8,56,2020-10-01
2020-10-01 09:56:00,"C",20.5,1,1,9,56,2020-10-01
2020-10-01 10:56:00,"C",24.5,1,1,10,56,2020-10-01
2020-10-01 11:56:00,"C",24.5,1,1,11,56,2020-10-01
2020-10-01 12:56:00,"C",27,1,1,12,56,2020-10-01
2020-10-01 13:56:00,"C",27,1,1,13,56,2020-10-01
