"","Population","Cohort","Old.Block","Old.Replicate","New.Block","New.Position","germdate","Notes","plantdate","germjul","plantjul","days2germ","plantSep","germSep","days2germ2","planted","germinated","water.date","RegermSep","Redays2germ","mean.Temp"
"84","CAAN2",4,3,4,10,"D_14",2021-09-24,"","2020-10-30",267,304,329,59,388,329,1,1,2021-09-15,9,9,22.3579166666667
"85","CAAN1",3,1,4,10,"I_11",2021-09-24,"","2020-10-16",267,290,343,45,388,343,1,1,2021-09-15,9,9,22.3579166666667
"86","CAAN2",6,2,9,10,"J_06",2021-09-24,"","2020-11-27",267,332,301,87,388,301,1,1,2021-09-15,9,9,22.3579166666667
"87","CAIN4",3,2,8,13,"B_15",2021-09-25,"P 10/7","2020-10-16",268,290,344,45,389,344,1,1,2021-09-15,10,10,22.3189393939394
"88","CAIN3",7,2,6,6,"G_07",2021-09-25,"P 10/12/21","2020-12-11",268,346,288,101,389,288,1,1,2021-09-15,10,10,22.3189393939394
"89","STGL1",4,3,3,11,"D_09",2021-09-25,"P 10/7","2020-10-30",268,304,330,59,389,330,1,1,2021-09-15,10,10,22.3189393939394
"90","CAAN1",5,3,10,5,"C_05",2021-09-26,"","2020-11-13",269,318,317,73,390,317,1,1,2021-09-15,11,11,22.1399305555556
"91","STDI",4,3,16,5,"J_13",2021-09-26,"","2020-10-30",269,304,331,59,390,331,1,1,2021-09-15,11,11,22.1399305555556
"92","CAAN2",3,2,15,8,"G_07",2021-09-26,"","2020-10-16",269,290,345,45,390,345,1,1,2021-09-15,11,11,22.1399305555556
"93","CAAN1",4,2,13,13,"B_17",2021-09-26,"P 10/7","2020-10-30",269,304,331,59,390,331,1,1,2021-09-15,11,11,22.1399305555556
"94","CAAN1",6,3,2,6,"G_11",2021-09-26,"","2020-11-27",269,332,303,87,390,303,1,1,2021-09-15,11,11,22.1399305555556
"95","CAAN1",7,2,11,6,"H_11",2021-09-26,"","2020-12-11",269,346,289,101,390,289,1,1,2021-09-15,11,11,22.1399305555556
"96","CAAN1",4,1,9,9,"B_09",2021-09-26,"","2020-10-30",269,304,331,59,390,331,1,1,2021-09-15,11,11,22.1399305555556
"97","CAAN1",4,2,7,4,"A_03",2021-09-26,"","2020-10-30",269,304,331,59,390,331,1,1,2021-09-15,11,11,22.1399305555556
"98","CAAN2",4,2,12,12,"D_04",2021-09-26,"","2020-10-30",269,304,331,59,390,331,1,1,2021-09-15,11,11,22.1399305555556
"99","CAAN1",2,2,10,10,"F_02",2021-09-26,"P 10/7","2020-10-02",269,276,359,31,390,359,1,1,2021-09-15,11,11,22.1399305555556
"100","CAAN2",6,2,4,10,"G_12",2021-09-26,"","2020-11-27",269,332,303,87,390,303,1,1,2021-09-15,11,11,22.1399305555556
"101","CAAM-GB",5,2,12,7,"B_04",2021-09-27,"","2020-11-13",270,318,318,73,391,318,1,1,2021-09-15,12,12,21.9839743589744
"102","CAAN1",5,1,2,7,"J_07",2021-09-27,"","2020-11-13",270,318,318,73,391,318,1,1,2021-09-15,12,12,21.9839743589744
"103","CAAN1",4,2,2,13,"C_17",2021-09-27,"","2020-10-30",270,304,332,59,391,332,1,1,2021-09-15,12,12,21.9839743589744
"104","CAAN2",3,1,3,1,"D_02",2021-09-27,"P 10/7","2020-10-16",270,290,346,45,391,346,1,1,2021-09-15,12,12,21.9839743589744
"105","CAAN2",5,2,6,11,"C_16",2021-09-27,"","2020-11-13",270,318,318,73,391,318,1,1,2021-09-15,12,12,21.9839743589744
"106","STIN",5,1,15,11,"D_12",2021-09-27,"","2020-11-13",270,318,318,73,391,318,1,1,2021-09-15,12,12,21.9839743589744
"107","CAAM-GB",3,1,3,7,"A_04",2021-09-28,"","2020-10-16",271,290,347,45,392,347,1,1,2021-09-15,13,13,21.7535714285714
"108","CAAN2",4,1,8,5,"C_20",2021-09-28,"","2020-10-30",271,304,333,59,392,333,1,1,2021-09-15,13,13,21.7535714285714
"109","STIN",3,1,11,8,"D_07",2021-09-28,"","2020-10-16",271,290,347,45,392,347,1,1,2021-09-15,13,13,21.7535714285714
"110","CAAN2",4,1,14,8,"I_19",2021-09-28,"","2020-10-30",271,304,333,59,392,333,1,1,2021-09-15,13,13,21.7535714285714
"111","CAAN2",6,1,15,2,"E_09",2021-09-28,"","2020-11-27",271,332,305,87,392,305,1,1,2021-09-15,13,13,21.7535714285714
"112","CAAN1",2,1,16,2,"F_12",2021-09-28,"","2020-10-02",271,276,361,31,392,361,1,1,2021-09-15,13,13,21.7535714285714
"113","CAAN1",1,3,14,2,"F_13",2021-09-28,"","2020-09-17",271,261,376,16,392,376,1,1,2021-09-15,13,13,21.7535714285714
"114","CAAN1",5,2,16,2,"H_15",2021-09-28,"","2020-11-13",271,318,319,73,392,319,1,1,2021-09-15,13,13,21.7535714285714
"115","CAAN1",1,2,16,4,"H_06",2021-09-28,"P 10/7","2020-09-17",271,261,376,16,392,376,1,1,2021-09-15,13,13,21.7535714285714
"116","CAIN3",2,3,4,3,"G_17",2021-09-28,"","2020-10-02",271,276,361,31,392,361,1,1,2021-09-15,13,13,21.7535714285714
"117","CAAN1",2,2,14,11,"A_14",2021-09-28,"","2020-10-02",271,276,361,31,392,361,1,1,2021-09-15,13,13,21.7535714285714
"118","CAAN2",1,2,5,12,"F_08",2021-09-28,"","2020-09-17",271,261,376,16,392,376,1,1,2021-09-15,13,13,21.7535714285714
"119","CAAN1",5,1,8,12,"H_15",2021-09-28,"","2020-11-13",271,318,319,73,392,319,1,1,2021-09-15,13,13,21.7535714285714
"120","CAAN2",3,1,2,10,"C_05",2021-09-28,"P 10/12/21","2020-10-16",271,290,347,45,392,347,1,1,2021-09-15,13,13,21.7535714285714
"121","STGL1",7,3,9,4,"D_15",2021-09-29,"P 10/7","2020-12-11",272,346,292,101,393,292,1,1,2021-09-15,14,14,21.6172222222222
"122","CAAN1",2,1,12,7,"G_11",2021-09-30,"","2020-10-02",273,276,363,31,394,363,1,1,2021-09-15,15,15,21.5255208333333
"123","CAAN1",4,2,4,9,"F_19",2021-09-30,"","2020-10-30",273,304,335,59,394,335,1,1,2021-09-15,15,15,21.5255208333333
"124","CAAN1",1,3,11,3,"C_14",2021-09-30,"","2020-09-17",273,261,378,16,394,378,1,1,2021-09-15,15,15,21.5255208333333
"125","CAAN1",7,3,4,3,"G_10",2021-09-30,"","2020-12-11",273,346,293,101,394,293,1,1,2021-09-15,15,15,21.5255208333333
"126","STGL1",4,2,10,12,"D_11",2021-09-30,"","2020-10-30",273,304,335,59,394,335,1,1,2021-09-15,15,15,21.5255208333333
"127","STIN",3,1,9,2,"H_10",2021-10-01,"","2020-10-16",274,290,350,45,395,350,1,1,2021-09-15,16,16,21.415931372549
"128","CAAN1",2,1,2,5,"F_19",2021-10-03,"","2020-10-02",276,276,366,31,397,366,1,1,2021-09-15,18,18,21.3138157894737
"129","CAAN2",2,1,10,8,"F_18",2021-10-03,"P 10/7","2020-10-02",276,276,366,31,397,366,1,1,2021-09-15,18,18,21.3138157894737
"130","CAIN3",6,2,6,8,"H_06",2021-10-03,"P 10/12/2021","2020-11-27",276,332,310,87,397,310,1,1,2021-09-15,18,18,21.3138157894737
"131","STPO1",5,2,5,6,"D_06",2021-10-03,"","2020-11-13",276,318,324,73,397,324,1,1,2021-09-15,18,18,21.3138157894737
"133","CAAN1",4,2,9,1,"F_07",2021-10-03,"P 10/7/21","2020-10-30",276,304,338,59,397,338,1,1,2021-09-15,18,18,21.3138157894737
"134","CAAN1",2,2,5,2,"E_16",2021-10-03,"","2020-10-02",276,276,366,31,397,366,1,1,2021-09-15,18,18,21.3138157894737
"135","CAAN2",5,3,6,11,"H_20",2021-10-03,"","2020-11-13",276,318,324,73,397,324,1,1,2021-09-15,18,18,21.3138157894737
"136","CAAN1",5,1,11,12,"E_04",2021-10-03,"P 10/7","2020-11-13",276,318,324,73,397,324,1,1,2021-09-15,18,18,21.3138157894737
"137","STGL1",6,1,10,10,"E_09",2021-10-03,"P 10/7","2020-11-27",276,332,310,87,397,310,1,1,2021-09-15,18,18,21.3138157894737
"138","CAAN1",3,2,14,7,"D_12",2021-10-04,"","2020-10-16",277,290,353,45,398,353,1,1,2021-09-15,19,19,21.25875
"139","STGL1",6,2,11,5,"I_07",2021-10-04,"P 10/7","2020-11-27",277,332,311,87,398,311,1,1,2021-09-15,19,19,21.25875
"140","CAAN2",6,2,2,8,"D_15",2021-10-04,"","2020-11-27",277,332,311,87,398,311,1,1,2021-09-15,19,19,21.25875
